country,name,title,rating,picture
United States of America, Fabiano Caruana, Grandmaster, 2783, https://upload.wikimedia.org/wikipedia/commons/6/67/Fabiano_Caruana_2%2C_Candidates_Tournament_2018.jpg
Russia, Ian Nepomniachtchi, Grandmaster, 2766, https://upload.wikimedia.org/wikipedia/commons/4/41/Ian_Nepomniachtchi_Tal_Memorial_2018.jpg
China, Liren Ding, Grandmaster, 2806, https://images.chesscomfiles.com/uploads/v1/news/1077623.d0738418.5000x5000o.d7df86c95af1.png
India, Viswanathan Anand, Grandmaster, 2756, https://cdn.britannica.com/27/232027-050-A176084E/Indian-chess-player-Viswanathan-Anand-2015.jpg
Ukraine, Anton Korobov, Grandmaster, 2692, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Anton_Korobov_2013.jpg/1200px-Anton_Korobov_2013.jpg
Azerbaijan, Shakhriyar Mamedyarov, Grandmaster, 2759, https://grandchesstour.org/sites/default/files/styles/player_bio_photo/public/player_bio_photos/2019%20Shakhriyar%20Mamedyarov.jpg
France, Alireza Firouzja, Grandmaster, 2793, https://www.chessdom.com/wp-content/uploads/2022/06/Firouzja-Alireza.jpg
Germany, Vincent Keymer, Grandmaster, 2686, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/VincentKeymer19.jpg/1200px-VincentKeymer19.jpg
Armenia, Gabriel Sargissian, Grandmaster, 2698, https://upload.wikimedia.org/wikipedia/commons/9/9c/GSargissian11.jpg
Spain, Alexei Shirov, Grandmaster, 2704, https://upload.wikimedia.org/wikipedia/commons/6/6b/AShirov10.jpg
Poland, Jan-Krzysztof Duda, Grandmaster, 2750, https://upload.wikimedia.org/wikipedia/commons/d/dd/Duda_und_Giri_2018_Dortmund_%28cropped%29.jpg
Hungary, Richard Rapport, Grandmaster, 2704, https://images.chesscomfiles.com/uploads/v1/news/1079103.d3fd8494.5000x5000o.7ec8e8698d1e.png
Netherlands, Anish Giri, Grandmaster, 2760, https://upload.wikimedia.org/wikipedia/commons/e/e2/Anish_Giri_2017.jpg
Norway, Magnus Carlsen, Grandmaster - World Champion, 2864, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/FIDE_World_FR_Chess_Championship_2019_-_Magnus_Carlsen_%28cropped%29.jpg/640px-FIDE_World_FR_Chess_Championship_2019_-_Magnus_Carlsen_%28cropped%29.jpg
Israel, Boris Gelfand, Grandmaster, 2668, https://players.chessbase.com/picture/gel30826
United Kingdom, Michael Adams, Grandmaster, 2696, https://upload.wikimedia.org/wikipedia/commons/2/22/Michael_Adams_at_2013_Chess_World_Cup.png
Czechia, David Navara, Grandmaster, 2688, https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/2021-David-Navara.JPG/1200px-2021-David-Navara.JPG
Croatia, Ivan Saric, Grandmaster, 2680, https://upload.wikimedia.org/wikipedia/commons/9/93/Ivan_%C5%A0ari%C4%87_2013.jpg
Uzbekistan, Nodirbek Abdusattorov, Grandmaster, 2688, https://upload.wikimedia.org/wikipedia/commons/b/b5/NodirbekAbdusattorov19.jpg
Argentina, Sandro Mareco, Grandmaster, 2680, https://www.chessdom.com/wp-content/uploads/2022/05/Sandro-Mareco-1000x600.jpg
Greece, Ioannis Papaioannou, Grandmaster, 2634, https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Ioannis_Papaioannou_2011.jpg/1200px-Ioannis_Papaioannou_2011.jpg
Georgia, Mikheil Mchedlishivili, Grandmaster, 2593, https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Mchedlischwili_michail2_20081120_olympiade_dresden.jpg/640px-Mchedlischwili_michail2_20081120_olympiade_dresden.jpg
Serbia, Aleksandar Indjic, Grandmaster, 2620, https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Indjic_Aleksandar_%2829568765872%29_%28cropped%29.jpg/1200px-Indjic_Aleksandar_%2829568765872%29_%28cropped%29.jpg
Iran, Parham Maghsoodloo, Grandmaster, 2701, https://en.chessbase.com/thumb/94599
Italy, Daniele Vocaturo, Grandmaster, 2616, https://upload.wikimedia.org/wikipedia/commons/b/b0/Daniele_Vocaturo_2015.jpg
Bulgaria, Veselin Topalov, Grandmaster, 2728, https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Veselin_Topalov_Sofia_Airport_24.10.2005.pic-01.jpg/640px-Veselin_Topalov_Sofia_Airport_24.10.2005.pic-01.jpg
Romania, Bogdan-Daniel Deac, Grandmaster, 2692, https://grandchesstour.org/sites/default/files/player_bio_photos/Deac.jpg
Switzerland, Vadim Milov, Grandmaster, 2608, https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Vadim_Milov.jpg/220px-Vadim_Milov.jpg
Denmark, Jonas Buhl Bjerre, Grandmaster, 2608, https://players.chessbase.com/picture/bje00003
